天斩,天斩,《天斩》是连载于纵横中文网的一本仙侠异侠类小说，作者是迷谷。
新朝,新朝,新朝（8年—23年），是继西汉之后由西汉外戚王莽建立的朝代。公元8年腊月，王莽废汉孺子（刘婴）为安定公，改国号为新，建都常安（今西安汉长安城遗址），史称新莽。 王莽称帝后进行了多项改革，包括：推行王田制，限制私有土地持有，超出部分为国有，无土地者由国家分配，一夫百亩，目的是解决西汉后期以来土地兼并严重的问题，但是完全无法执行；禁赏奴婢；推广国营事业；改革币制等。唯新朝政令繁琐，且朝令夕改，改革最终失败，导致新朝急速灭亡。 地皇四年（23年），新朝被绿林军推翻；共1帝、15年国祚。历农民战争后，刘玄建立玄汉政权。 新朝开创了中国历史上通过禅让称帝成功的先河，因为传统史观相对于通过战争革命取得政权，比较鄙弃禅位这种移转政权的方式，所以王莽一直被中国史学家误认为是“伪君子”。中国古代史学家对新朝的评价几乎都是负面的，尤其是《汉书》视王莽为逆臣贼子。后世亦是按汉书观点评价王莽，直到清末之后，评价才有所改变。
ABA,脱落酸,脱落酸(abscisicacid，ABA)别名：脱落素（Abscisin），休眠素（Dormin）。一种抑制生长的植物激素，因能促使叶子脱落而得名。可能广泛分布于高等植物。除促使叶子脱落外尚有其他作用，如使芽进入休眠状态、促使马铃薯形成块茎等。对细胞的延长也有抑制作用。1965年证实，脱落素II和休眠素为同一种物质，统一命名为脱落酸。
贝阿提丝,贝阿提丝,在《微笑的鱼》动画原声带中，《贝阿提丝》这首歌名是夏宇给那只鱼的名字。这个名字给了这个故事更多神秘和浪漫的想象。歌词中鱼和主人的矛盾情感也像是现代人的感情般若即若离。词作者黄小桢用简洁的语言轻轻讲述这个故事，陈建骐则写得很冷静。
HLA,海澜之家,“海澜之家”（英文缩写：HLA）是海澜之家股份有限公司旗下的服装品牌，主要采用连锁零售的模式，销售男性服装、配饰与相关产品。2014年4月11日，海澜之家正式登陆A股市场，证券代码为：600398；2015年12月29日，根据标准普尔发布的统计数据，海澜之家股份有限公司的市值已超过600亿人民币 ；截止2016年12月31日，海澜之家品牌门店数量已达到4237家，遍布全国31个省。
铃木,铃木,铃木（SUZUKI），成立于1920年，是一家日本的汽车制造企业。铃木商标图案中的“S”是“SUZUKI”的第一个大写字母，它给人以无穷力量的感觉，象征无限发展的铃木汽车公司。铃木向全世界的客户提供优质产品，并且向使用铃木产品的客户提供优质服务。1952年开始生产摩托车，1955年开始生产汽车，以生产微型汽车为主。通用持有铃木10%的股权。铃木于1984年首次提供技术给中国市场，也是最早进入中国市场的日本汽车公司之一。2012年11月5日，铃木公司宣布退出美国汽车销售市场，将集中于摩托车销售业务。
添柏岚,添柏岚,Timberland（添柏岚）是全球领先的户外品牌，旗下有Timberland、TimberlandPRO、SmartWool、TimberlandBootCompany及Howies®等品牌，通过提供高质量、讲究细节的工艺制品，来满足不同户外环境下的需求。添柏岚的产品透过北美洲、欧洲、亚洲、拉丁美洲、南非及中东的百货公司、专卖店和Timberland直营店营销全球。添柏岚在承诺对股东，雇员和消费者利益和责任的同时，做到对自然环境负责。Timberland（添柏岚）Timberland添柏岚是全球领先的户外品牌，对每一个真正热爱户外的人而言，添柏岚是一个真实可靠、可持续发展的户外品牌，通过提供创新的，经过户外考验的，外观漂亮而且经久耐用的装备，让你得到最丰富的户外体验。这家成立于1918年的美国波士顿的公司创业初期是一家专业制鞋公司。1952年，公司的创立者NathanSwarts收购了Abington鞋业公司50%的股份，1955年，Nathan买下其余的股份，由其第二代接管公司，并在以后的10年成长为全美最成功鞋业公司。1973年，Swartz家族建立了Timberland品牌70年代，他们采取独特的制鞋技术，生产出世界上第一双鞋底和鞋面无需缝线的鞋，鞋底和鞋帮的完全铸合，造就了真正意义上的防水鞋。
HOGAN,hogan,hogan是在香港的一家附属生产厂，但自我介绍是一家制造公司并以“HoganWings”开创自己的牌子。
耶书仑,耶书仑,“耶书仑”在圣经中作为神对以色列民的亲密称呼。
BEYOND,Beyond,Beyond，中国香港摇滚乐队，由黄家驹、黄贯中、黄家强、叶世荣组成。1983年Beyond成立，同年参加“山叶吉他比赛”获得冠军并正式出道。1986年自资发行乐队首张专辑《再见理想》。1988年凭借粤语专辑《秘密警察》获得关注。1989年凭借歌曲《真的爱你》获得第12届十大中文金曲奖、第7届十大劲歌金曲奖 。1990年凭借歌曲《光辉岁月》获得第8届十大劲歌金曲奖 。1991年主演电影《Beyond日记之莫欺少年穷》 ，同年9月，在香港红磡体育馆举办“生命接触”演唱会 。1992年，赴日本发展演艺事业。1993年发行粤语专辑《乐与怒》，专辑中的歌曲《海阔天空》获得第16届十大中文金曲奖 ；6月30日，乐队主唱黄家驹去世，Beyond以三名成员的组成形式继续发展。1994年发行专辑《二楼后座》 。1996年获得香港叱咤乐坛流行榜颁奖典礼叱咤乐坛组合金奖 。1997年发行融入迷幻电子音乐的专辑《请将手放开》，并开始转变音乐风格。1999年Beyond宣布暂时解散 。2002年获得第25届十大中文金曲金曲银禧荣誉大奖 。2003年正式复出歌坛并举办“Beyond超越Beyond”世界巡回演唱会 。2004年凭借电影《无间道Ⅱ》的主题曲《长空》获得香港电影金像奖最佳原创电影歌曲奖 。2005年举行“BeyondTheStoryLive2005”世界巡回告别演唱会；同年Beyond正式解散 。演艺事业外，Beyond关心公益慈善。1991年前往非洲探访第三世界的穷困人民，并成立第三世界基金 。
悍武,悍武,《悍武》是绝望的荒原创作的网络小说，发表于起点网。
夏乐,夏乐,夏乐，男，汉族，1980年11月09日出生，艺人保镖。
猴王,孙悟空,孙悟空是中国著名的神话人物之一，出自四大名著之《西游记》。祖籍东胜神州，由开天辟地以来的仙石孕育而生，因带领群猴进入水帘洞而成为众猴之王，尊为“美猴王”。后经千山万水拜须菩提祖师为师学艺，得名孙悟空，学会地煞数七十二变、筋斗云、长生不老等高超的法术。神通初成的孙悟空先大闹龙宫取得如意金箍棒，又大闹地府勾去生死簿，后被天界招安，封为弼马温。得知职位低卑后生气返回花果山，并战胜托塔天王和三太子的讨伐，迫使玉皇大帝封其为齐天大圣，并在天庭建齐天大圣府，奉旨管理蟠桃园。因醉酒搅乱王母的蟠桃盛会，偷吃太上老君的金丹，炼成了金刚不坏之躯，阴差阳错间在太上老君的炼丹炉中炼就火眼金睛。之后大闹天宫，十万天兵天将、四大天王、二十八星宿对其围剿亦不能将其打败，后来在与如来的打赌斗法中失利，被压在如来舍去一手化作的五行山（唐时更名两界山）下五百余年悔过自新。后经观音点化，被唐僧救出，法号行者，保护唐僧西天取经，一路降妖除魔，不畏艰难困苦，历经九九八十一难，最后取得真经修成正果，被封为斗战胜佛。孙悟空生性聪明、活泼、忠诚、嫉恶如仇，在民间文化中代表了机智、勇敢。自唐代出现西游传说，一直延续至明清，明代出现这些传说的集大成本《西游记》。孙悟空在历代的这些民间神话里，被中国人奉为神明。
NINJA,NINJA,NINJA在WOW指组队时ROLL别人的装备。在日文里，把忍者两个字分开看的话，"忍"的读音里有个和"按"这个词相同的；而"者"的读音有有个和"东西"的读音相同的，所以以这个方法组合后"忍者"就变成了"按·...东西"的意思了。所以乱按色子抢东西的就变成忍者了。
TonLion,唐狮,唐狮以“打造同行业最优秀品牌”为己任。近几年，“主题精干，品牌经营”的决策使企业的整体实力得以进一步加强。唐狮将继续以时尚的设计和强有力的品牌推广，打造具有强势竞争力的时尚服饰品牌，将企业建设成为国内最大的点线式终端控制者。
卡丹路,卡丹路,Cardanro/卡丹路服饰由国际知名设计师设计，融合东西方服饰文化精华，精湛的工艺，高标准的辅料，最流行的款式，典雅的风格；涵盖西服、西裤、风衣、衬衫、T恤、休闲服等系列。
CGF,CGF,CGF是移动通信离线计费过程中的一个重要逻辑功能实体，是3GPP网络与BD（BillingDomain，计费域，通常为运营商的营帐系统）之间的网关。CGF完成话单的分拣、合并、过滤、解码、路由、分发等功能。
挥手之间,挥手之间,《挥手之间》是中石化江汉油田作者张祚浩先生所作的散文集，分为“知青岁月”、“干了这杯”、“故乡的云”、“一衣带水”、“零点思绪”、“八面来风”、“诗路花语”、“小说习作”共八个篇章。本书于2012年8月由中国文化出版社正式出版。
贵人鸟,贵人鸟,贵人鸟股份有限公司始创于1987年，座落于名闻全球的“鞋都”－晋江陈埭。是一家集运动鞋、服及配套产品研发、生产、营销于一体的综合性企业，是近年成长最为迅速的中国民族运动品牌，先后荣获中国驰名商标、中国名牌产品、国家免检产品、纳税AAA级企业等荣誉称号。
好乐宝,好乐宝,深圳市好乐宝家庭用品有限公司 是中国最大的工具贸易商深圳市新力科电子有限公司的全资子公司。
猎人之家,猎人之家,《猎人之家》是一款益智类小游戏，游戏大小为3222K。
益步,益步,益步是一个李红石创始的运动品牌。
火山星,火山星,火山星，网络游戏赛尔号中帕诺星系第三颗行星，十分炎热。
集思宝,集思宝,集思宝是由北京合众思壮科技股份有限公司自2006年开始使用并沿用至今的手持GPS品牌。
跳跳鱼,弹涂鱼,弹涂鱼，又名跳跳鱼，泥猴，江边、海边，常见为刺鳍鱼科，世界上共有25种弹涂鱼，根据其形体和行为特点可将其归为四个种类；中国沿海主要有3属6种，分别为弹涂鱼、大弹涂鱼、青弹涂鱼、大青弹涂鱼。常见的种类有弹涂鱼、大弹涂鱼，青弹涂鱼。弹涂鱼有鳃，是真正的鱼，一类进化程度较低的古老鱼类小动物。弹涂鱼是鱼类中的天才，它们一生有很多时间都不在水里度过。它们居住的地方长满了红树林，它们很高兴爬到树干或树枝上去。它们把腹鳍用作吸盘，用来抓住树木，用胸鳍向上爬行。弹涂鱼的鳃的周边长有小口，可以盛住一次呼吸的水，很像我们能屏住一次呼吸。它们爬上树，所以能在涨潮时呆在水域外。
感言,感言,感言（gǎnyán），指对某些事或人产生发出的想法，并表达出来。
